region,Operating
Africa_Eastern,315
Africa_Northern,4257
Africa_Southern,2132
Africa_Western,30
Argentina,350
Australia_NZ,25607
Brazil,3149
Canada,8333.2
Central America and Caribbean,2700.3
Central Asia,17352
China,1049056.5
Colombia,1633.5
EU-12,50492.7
EU-15,77009.5
Europe_Eastern,22265
Europe_Non_EU,22006.16
India,229247.2
Indonesia,33965.6
Japan,47871.93
Mexico,5378
Middle East,4990
Other Europe,6720
Pakistan,5090
Russia,44845.3
South Africa,41903.9
South America_Northern,0
South America_Southern,5017.15
South Asia,2085
South Korea,36379.5
Southeast Asia,56681
Taiwan,18873.2
USA,233620.96